name,prompt,negative_prompt
The forest bottle,"An intricate jungle minitown landscape trapped in a wide bottle,atmospheric oliva lighting,on the table,4k UHD,dark vibes,hyper detailed,vibrant colours forest background,epic composition,octane render,sharp focus,high resolution isometric,","semi-realistic,cgi,sketch,cartoon,drawing,( out of frame:1.1),worst quality,low quality,jpeg artifacts,poorly drawn,"
Negative_anatomy,,"((((ugly)))),(((duplicate))),((morbid)),((mutilated)),[out of frame],extra fingers,mutated hands,((poorly drawn hands)),((poorly drawn face)),(((mutation))),(((deformed))),blurry,((bad anatomy)),(((bad proportions))),((extra limbs)),cloned face,(((disfigured))),gross proportions,(malformed limbs),((missing arms)),((missing legs)),(((extra arms))),(((extra legs))),(fused fingers),(too many fingers),(((long neck))),"
Neg_RealisticVision,,"(deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime:1.4),text,close up,cropped,out of frame,worst quality,low quality,jpeg artifacts,ugly,duplicate,morbid,mutilated,extra fingers,mutated hands,poorly drawn hands,poorly drawn face,mutation,deformed,blurry,dehydrated,bad anatomy,bad proportions,extra limbs,cloned face,disfigured,gross proportions,malformed limbs,missing arms,missing legs,extra arms,extra legs,fused fingers,too many fingers,long neck,"
Neg_RevAnimated,,"(deformed iris, deformed pupils, bad eyes, semi-realistic:1.4) (bad-image-v2-39000, bad_prompt_version2, bad-hands-5, EasyNegative, NG_DeepNegative_V1_4T, bad-artist-anime:0.7),(worst quality, low quality:1.3),(depth of field, blurry:1.2),(greyscale, monochrome:1.1),nose,cropped,lowres,text,jpeg artifacts,signature,watermark,username,blurry,artist name,trademark,watermark,title,(tan, muscular, loli, petite, child, infant, toddlers, chibi, sd character:1.1),multiple view,Reference sheet,long neck,"
Neg_embeddingsRevAnim,,"bad-image-v2-39000,bad_prompt_version2,bad-hands-5,easynegative,bad-artist-anime,ng_deepnegative_v1_75t,"
Neg_epic,,"asian, chinese, lowres, text, error, cropped, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck, username, watermark, signature"
Positive_ProtogenX53Photo,"MODELSHOOT STYLE, ANALOG STYLE, MDJRNY-V4 STYLE",
Aishwarya Rai「LoRa」,aishw,
Adut Akech (Model) TI,4d0t4k3ch,
Khoudia Diop (Model) ti,kh0ud14d10p,
Eirenne SG,Eirenne SG,
No text,,"text, watermark, font, signature,"
