Ratios SDXL Fooocus,Width,Height,Rapport (decimal),Rapport inverse,Ratio bis
704x1408 | 1:2,704,1408,"0,50","2,00",2     
704x1344 | 11:21,704,1344,"0,52","1,91",1 10/11
768x1344 | 4:7,768,1344,"0,57","1,75",1 3/4 
768x1280 | 3:5,768,1280,"0,60","1,67",1 2/3 
832x1216 | 13:19,832,1216,"0,68","1,46",1 6/13
832x1152 | 13:18,832,1152,"0,72","1,38",1 5/13
896x1152 | 7:9,896,1152,"0,78","1,29",1 2/7 
896x1088 | 14:17,896,1088,"0,82","1,21",1 3/14
960x1088 | 15:17,960,1088,"0,88","1,13",1 2/15
960x1024 | 15:16,960,1024,"0,94","1,07",1 1/15
1024x1024 | 1:1,1024,1024,"1,00","1,00",1     
1024x960 | 16:15,1024,960,"1,07","0,94", 15/16
1088x960 | 17:15,1088,960,"1,13","0,88", 15/17
1088x896 | 17:14,1088,896,"1,21","0,82", 14/17
1152x896 | 9:7,1152,896,"1,29","0,78", 7/9 
1152x832 | 18:13,1152,832,"1,38","0,72", 13/18
1216x832 | 19:13,1216,832,"1,46","0,68", 13/19
1280x768 | 5:3,1280,768,"1,67","0,60", 3/5 
1344x768 | 7:4,1344,768,"1,75","0,57", 4/7 
1344x704 | 21:11,1344,704,"1,91","0,52", 11/21
1408x704 | 2:1,1408,704,"2,00","0,50", 1/2 
1472x704 | 23:11,1472,704,"2,09","0,48", 11/23
1536x640 | 12:5,1536,640,"2,40","0,42", 5/12
1600x640 | 5:2,1600,640,"2,50","0,40", 2/5 
1664x576 | 26:9,1664,576,"2,89","0,35", 9/26
1728x576 | 3:1,1728,576,"3,00","0,33", 1/3 
A4,"29,70","21,00","1,41","0,71", 70/99
screen,1920,1080,"1,78","0,56", 9/16
